L,M,t
66,cheb,290.79192090034485
66,diag,431.6504805088043
66,eigd,262.62165927886963
66,eigd,271.3509781360626
66,eigd_intel,61.14699363708496
66,nagai,332.3881266117096
68,cheb,440.76625418663025
68,cheb,344.37863779067993
68,diag,604.4544305801392
68,eigd,313.30103969573975
68,eigd,317.71577286720276
68,eigd_intel,70.76218366622925
68,nagai,387.7700538635254
70,cheb,477.1082515716553
70,cheb,355.66627740859985
70,diag,634.5122253894806
70,eigd,370.44943165779114
70,eigd,377.6522295475006
70,eigd_intel,80.52964687347412
70,nagai,410.09837532043457
72,cheb,571.1101281642914
72,cheb,399.92240047454834
72,diag,1097.8215572834015
72,eigd,434.1464283466339
72,eigd,440.7418007850647
72,eigd_intel,96.74249243736267
72,nagai,467.44613790512085
74,cheb,635.293683052063
74,cheb,438.8508372306824
74,diag,1263.5412135124207
74,eigd,512.5272283554077
74,eigd,516.8427231311798
74,eigd_intel,102.04394245147705
74,nagai,514.7150337696075
76,cheb,718.6759271621704
76,cheb,483.53299260139465
76,diag,1425.261238336563
76,eigd,585.0620608329773
76,eigd,600.8421983718872
76,eigd_intel,119.27585053443909
76,nagai,577.2356436252594
78,cheb,805.9960563182831
78,cheb,588.2307646274567
78,diag,2325.6604030132294
78,eigd,697.0268158912659
78,eigd,706.9445333480835
78,eigd_intel,131.15733575820923
78,nagai,638.2857265472412
80,cheb,912.5010590553284
80,cheb,646.1029987335205
80,diag,2046.9870100021362
80,eigd,813.8245949745178
80,eigd,824.1575791835785
80,eigd_intel,157.53224897384644
80,nagai,713.5968511104584
82,cheb,994.8280646800995
82,cheb,704.3446128368378
82,diag,2319.731333732605
82,eigd,930.9237442016602
82,eigd,935.2598052024841
82,eigd_intel,168.89346361160278
82,nagai,786.6605739593506
84,cheb,1117.7333571910858
84,cheb,738.983421087265
84,diag,3621.6466114521027
84,eigd,1082.1803650856018
84,eigd,1096.2255551815033
84,eigd_intel,196.38418841362
84,nagai,851.9263467788696
86,cheb,1245.233589887619
86,cheb,839.9003615379333
86,diag,3730.7607345581055
86,eigd,1240.611315727234
86,eigd,1256.831906080246
86,eigd_intel,217.2137188911438
86,nagai,936.0005950927734
88,cheb,1362.395602941513
88,cheb,877.4862225055695
88,diag,4325.9790868759155
88,eigd,1424.8673861026764
88,eigd,1429.2234466075897
88,eigd_intel,254.82973790168762
88,nagai,1015.4327363967896
90,cheb,1444.8929517269135
90,cheb,1038.2818486690521
90,diag,5772.881646633148
90,eigd,1613.22540807724
90,eigd,1640.7483501434326
90,eigd_intel,278.6185710430145
90,nagai,1133.6330332756042
92,cheb,1633.871856212616
92,cheb,1053.9416420459747
92,diag,8965.94822525978
92,eigd,1843.5455050468445
92,eigd,1869.2959797382355
92,eigd_intel,320.0002861022949
92,nagai,1257.684674024582
94,cheb,1775.1447916030884
94,cheb,1154.641661643982
94,diag,13580.823758125305
94,eigd,2099.091470003128
94,eigd,2114.68922829628
94,eigd_intel,345.2117085456848
94,nagai,1359.212176322937
96,cheb,1913.4922897815704
96,cheb,1269.4673001766205
96,diag,9707.712682008743
96,eigd,2344.7259497642517
96,eigd,2418.6656081676483
96,eigd_intel,420.4364860057831
96,nagai,1473.8429987430573
98,cheb,1937.9985105991364
98,cheb,1360.2715187072754
98,eigd,2714.686853647232
98,nagai,1642.284896850586
100,cheb,1492.967740535736
100,eigd,3063.3641214370728
100,nagai,1774.1663584709167
102,cheb,1617.4644420146942
102,nagai,1944.5249707698822
104,cheb,1773.2637674808502
104,eigd_intel,622.6285195350647
104,nagai,2104.928052186966
106,cheb,1888.1692066192627
106,nagai,2266.4965121746063
108,cheb,2119.7282404899597
110,cheb,2234.7215349674225
112,cheb,2459.6679904460907
112,eigd_intel,896.6392884254456
114,cheb,2642.8986275196075
116,cheb,2947.2576265335083
118,cheb,3111.9752793312073
120,cheb,3310.876202583313
120,eigd_intel,1267.4978635311127
122,cheb,3517.9206368923187
124,cheb,3644.3307735919952
126,cheb,4143.436480998993
128,cheb,4216.226496219635
130,cheb,4498.659461259842
132,cheb,4902.489352941513
134,cheb,5072.555668592453
