diag,L_SC,L_NM,L_AM,m,φ,J1x,J1y,J2x,J2y
False,20,3,0,0.05,0.0,0.0,0.0,0.0,0.0
False,20,3,0,0.05,0.02,0.11428524360570416,1.3741367761721144e-18,0.11428524360570416,2.6008668871487645e-18
False,20,3,0,0.05,0.04,0.22852890172872814,8.30728777006656e-18,0.22852890172872817,8.958947128912179e-18
False,20,3,0,0.05,0.06,0.34268926721383175,7.996776864096103e-18,0.34268926721383175,1.5687522180488122e-17
False,20,3,0,0.05,0.08,0.456724389686323,1.686571402603219e-17,0.45672438968632295,1.9077799367254303e-17
False,20,3,0,0.05,0.1,0.5705919523913273,1.9408326774221355e-17,0.5705919523913273,2.9178709197605445e-17
False,20,3,0,0.05,0.12,0.6842491430761674,2.5965977306363003e-17,0.6842491430761676,2.80827384371612e-17
False,20,3,0,0.05,0.14,0.7976525135385162,2.1366008178613228e-17,0.7976525135385161,2.4318295192293072e-17
False,20,3,0,0.05,0.16,0.9107578249275305,3.017785444399765e-17,0.9107578249275308,4.053273559935277e-17
False,20,3,0,0.05,0.18,1.0235198803226264,5.355950576884825e-17,1.0235198803226262,4.5844147578915674e-17
False,20,3,0,0.05,0.2,1.1358923467112803,4.003433128564324e-17,1.1358923467112803,5.0451345844435796e-17
False,20,3,0,0.05,0.22,1.2478275607579112,3.922291763051256e-17,1.2478275607579115,6.272381047991733e-17
False,20,3,0,0.05,0.24,1.3592763027705521,4.198773320031251e-17,1.3592763027705521,6.941796161991533e-17
False,20,3,0,0.05,0.26,1.470187526278702,3.1944160122534046e-17,1.4701875262787019,6.290831088678523e-17
False,20,3,0,0.05,0.28,1.5805080488297574,3.2265035338518875e-17,1.5805080488297576,6.504664095984011e-17
False,20,3,0,0.05,0.3,1.6901822149944816,4.3693871274686564e-17,1.6901822149944816,1.0024092067464284e-16
False,20,3,0,0.05,0.32,1.7991515118904577,2.00393594881155e-17,1.7991515118904575,8.898005769613931e-17
False,20,3,0,0.05,0.34,1.9073540888656377,4.4724758095201e-17,1.907354088865638,7.839287821380258e-17
False,20,3,0,0.05,0.36,2.014724163942696,8.522149098555771e-17,2.014724163942696,8.436855945266285e-17
False,20,3,0,0.05,0.38,2.121191345381477,6.323215886241305e-17,2.121191345381477,8.561739181044121e-17
False,20,3,0,0.05,0.4,2.2266798519689703,5.0584083344984265e-17,2.2266798519689703,9.843633408953903e-17
False,20,3,0,0.05,0.42,2.3311075307115496,8.79459187052002e-17,2.3311075307115496,1.0287280657444238e-16
False,20,3,0,0.05,0.44,2.4343846053569194,1.0171757122700815e-16,2.4343846053569194,1.424281201838118e-16
False,20,3,0,0.05,0.46,2.536412176042747,7.371297539258804e-17,2.5364121760427474,6.689754545071713e-17
False,20,3,0,0.05,0.48,2.6370804126460854,7.095819673185532e-17,2.6370804126460854,1.5548443069494216e-16
False,20,3,0,0.05,0.5,2.736266241639302,1.2919770728611242e-16,2.7362662416393024,1.231633553406802e-16
False,20,3,0,0.05,0.52,2.833830366239948,1.062670230151587e-16,2.833830366239948,8.49615692476299e-17
False,20,3,0,0.05,0.54,2.9296135262081466,8.142726550877441e-17,2.9296135262081466,1.428106579792701e-16
False,20,3,0,0.05,0.56,3.023431744864516,4.7155223984161757e-17,3.023431744864516,1.42971879237757e-16
False,20,3,0,0.05,0.58,3.1150701026250815,8.243271973874964e-17,3.115070102625081,8.792026873121496e-17
False,20,3,0,0.05,0.6,3.204274511587756,6.975716780906067e-17,3.204274511587756,1.0841664208659927e-16
False,20,3,0,0.05,0.62,3.2907408543550307,1.424780376157333e-16,3.2907408543550303,1.7062551587527743e-16
False,20,3,0,0.05,0.64,3.374100416532264,1.3980951843228032e-16,3.374100416532264,1.4340907299628533e-16
False,20,3,0,0.05,0.66,3.453899867945598,7.937918335251696e-17,3.453899867945598,1.1493620433053287e-16
False,20,3,0,0.05,0.68,3.5295734346870895,1.354089865237153e-16,3.5295734346870904,1.1557820496092723e-16
False,20,3,0,0.05,0.7000000000000001,3.6004035495378197,1.248080142926998e-16,3.60040354953782,2.0222264326581116e-16
False,20,3,0,0.05,0.72,3.665463153082018,1.65285605068404e-17,3.665463153082018,2.4085905436051085e-16
False,20,3,0,0.05,0.74,3.7235290829664986,1.6555261705773238e-16,3.7235290829664986,1.7336316269783482e-16
False,20,3,0,0.05,0.76,3.772949176262909,1.1496248478282215e-16,3.7729491762629097,2.1407280661517888e-16
False,20,3,0,0.05,0.78,3.8114291468564514,1.8183674254807107e-16,3.8114291468564514,1.2917213308474055e-16
False,20,3,0,0.05,0.8,3.8356806620051325,1.4814132189536544e-16,3.8356806620051325,6.758658179609542e-17
False,20,3,0,0.05,0.8200000000000001,3.840831975283203,1.1672444031595487e-17,3.840831975283203,1.179011212358522e-16
False,20,3,0,0.05,0.84,3.8194263274623794,1.3726903711992338e-16,3.8194263274623794,1.7338688583566948e-16
False,20,3,0,0.05,0.86,3.7597590206964773,1.432326240279204e-16,3.7597590206964777,1.1839110310024795e-16
False,20,3,0,0.05,0.88,3.6433291825173115,1.5429163332422509e-16,3.6433291825173115,1.755552729182687e-16
False,20,3,0,0.05,0.9,3.4416356602929294,1.439822666158186e-16,3.44163566029293,1.5892987328413215e-16
False,20,3,0,0.05,0.92,3.11449167356254,8.230948578208884e-17,3.1144916735625405,9.41132751079435e-17
False,20,3,0,0.05,0.9400000000000001,2.615736116121941,4.5155273033017805e-17,2.615736116121941,1.071872396927789e-16
False,20,3,0,0.05,0.96,1.9128287213934294,8.870128489497778e-17,1.9128287213934292,8.536138070019992e-17
False,20,3,0,0.05,0.98,1.0165581919802857,-6.585209869372107e-18,1.0165581919802857,3.7274324364470775e-17
False,20,3,0,0.05,1.0,2.024080154573393e-15,1.306349945164458e-31,2.024080154573393e-15,4.958266456007739e-32
False,20,3,2,0.05,0.0,0.0,0.0,0.0,0.0
False,20,3,2,0.05,0.02,0.09985578459503643,8.706973300524498e-19,0.09985578459503643,7.171733252784868e-18
False,20,3,2,0.05,0.04,0.19967380831672993,4.554332080774594e-19,0.19967380831672993,1.553014657605153e-17
False,20,3,2,0.05,0.06,0.29941633752820396,-9.8703354672093e-19,0.29941633752820396,1.958117958335238e-17
False,20,3,2,0.05,0.08,0.39904568639252797,2.0506723659173094e-18,0.399045686392528,3.326602947236275e-17
False,20,3,2,0.05,0.1,0.49852423175368193,5.559169718598262e-18,0.49852423175368193,3.741621716407731e-17
False,20,3,2,0.05,0.12,0.5978144278659073,-2.5959704510904417e-18,0.5978144278659073,4.3133039109251995e-17
False,20,3,2,0.05,0.14,0.6968788203495546,2.4574678596620514e-18,0.6968788203495546,4.259787078290749e-17
False,20,3,2,0.05,0.16,0.7956800496166283,1.0974006985540217e-18,0.7956800496166283,6.377125273237221e-17
False,20,3,2,0.05,0.18,0.8941808353199378,1.9470758899579153e-17,0.8941808353199376,7.388796544916293e-17
False,20,3,2,0.05,0.2,0.992343940908817,1.438203293707293e-17,0.9923439409088168,8.7533036177267e-17
False,20,3,2,0.05,0.22,1.0901321120431167,-5.148667782938143e-19,1.0901321120431164,8.506415341862778e-17
False,20,3,2,0.05,0.24,1.1875079673538116,4.9686993691782856e-18,1.1875079673538116,8.503247523447422e-17
False,20,3,2,0.05,0.26,1.2844338252458447,3.0296362625022282e-18,1.2844338252458447,8.497942231212211e-17
False,20,3,2,0.05,0.28,1.380871474016325,1.0015956275735055e-17,1.380871474016325,9.679379029822968e-17
False,20,3,2,0.05,0.3,1.4767818804059138,2.775788732852418e-19,1.4767818804059138,9.563119004247543e-17
False,20,3,2,0.05,0.32,1.5721247806217802,7.025635517494954e-19,1.5721247806217802,1.1788247822595946e-16
False,20,3,2,0.05,0.34,1.6668581053145803,-2.0456090951905554e-17,1.6668581053145803,1.25028150807921e-16
False,20,3,2,0.05,0.36,1.7609372760403532,7.818104732480053e-18,1.7609372760403532,1.3449223067834592e-16
False,20,3,2,0.05,0.38,1.8543144057442342,1.4376469515858191e-18,1.8543144057442345,1.341235739034282e-16
False,20,3,2,0.05,0.4,1.94693728220646,7.872757384892775e-19,1.94693728220646,1.2257612582394465e-16
False,20,3,2,0.05,0.42,2.0387479932622132,1.095925388156028e-17,2.0387479932622132,1.2176295546848469e-16
False,20,3,2,0.05,0.44,2.1296812847649904,-2.400227806371274e-18,2.1296812847649904,1.5942741025847723e-16
False,20,3,2,0.05,0.46,2.219662761850244,-1.5422999154243878e-17,2.2196627618502442,1.76707643530837e-16
False,20,3,2,0.05,0.48,2.3086066300541797,-1.957525481371708e-18,2.3086066300541797,1.6332007277547045e-16
False,20,3,2,0.05,0.5,2.3964125592573704,5.272551576957485e-19,2.3964125592573704,1.5695566329801167e-16
False,20,3,2,0.05,0.52,2.482961769292577,-1.8256878545310752e-17,2.4829617692925776,1.5119042346235575e-16
False,20,3,2,0.05,0.54,2.568112392790045,3.4603061412899384e-17,2.5681123927900447,2.0670260539148675e-16
False,20,3,2,0.05,0.56,2.651693075287815,-3.4149867792884624e-18,2.651693075287815,1.6513178553553887e-16
False,20,3,2,0.05,0.58,2.7334933736332614,-7.913050573554009e-18,2.7334933736332614,2.2625405930279486e-16
False,20,3,2,0.05,0.6,2.8132501700418877,6.840211878510968e-18,2.813250170041888,1.8776093895928694e-16
False,20,3,2,0.05,0.62,2.8906280695696256,-3.1670330061629414e-18,2.8906280695696256,2.3551842086290015e-16
False,20,3,2,0.05,0.64,2.9651880210949746,1.945836780888704e-17,2.9651880210949746,2.2579923777829596e-16
False,20,3,2,0.05,0.66,3.0363355635116736,-1.908510198975522e-17,3.0363355635116744,2.7676647415862305e-16
False,20,3,2,0.05,0.68,3.1032363903145415,1.3661150196664671e-17,3.1032363903145415,1.9799209957587816e-16
False,20,3,2,0.05,0.7000000000000001,3.1646756875640283,3.988876017268547e-18,3.1646756875640283,2.1928081153844335e-16
False,20,3,2,0.05,0.72,3.218821227798147,6.931546970244605e-18,3.218821227798147,2.241262377851179e-16
False,20,3,2,0.05,0.74,3.2628379171371917,3.038401795320339e-17,3.2628379171371917,1.8981617396098923e-16
False,20,3,2,0.05,0.76,3.2923070799051466,-1.1811956005179328e-17,3.2923070799051466,2.416454750438812e-16
False,20,3,2,0.05,0.78,3.300487807271958,8.687923591491968e-18,3.300487807271959,2.6849593426757496e-16
False,20,3,2,0.05,0.8,3.277721050363946,4.3417054063300656e-17,3.277721050363946,2.691427427098219e-16
False,20,3,2,0.05,0.8200000000000001,3.2116486953176473,4.5038604911061676e-17,3.211648695317648,2.8342065486694294e-16
False,20,3,2,0.05,0.84,3.088962336892324,-3.9858580222236255e-18,3.088962336892324,2.330330618005414e-16
False,20,3,2,0.05,0.86,2.898658527228351,5.186901646194959e-17,2.898658527228351,2.63843935857924e-16
False,20,3,2,0.05,0.88,2.6355536558437924,3.0867205835016393e-17,2.635553655843792,3.0407428301461326e-16
False,20,3,2,0.05,0.9,2.3022083673669704,4.9255233382060815e-17,2.3022083673669704,2.103651441167152e-16
False,20,3,2,0.05,0.92,1.9082021978981079,9.188308810183676e-19,1.9082021978981079,1.596031633901952e-16
False,20,3,2,0.05,0.9400000000000001,1.4672951765711966,3.904051907352458e-17,1.4672951765711966,1.430415125188179e-16
False,20,3,2,0.05,0.96,0.9940604659429204,2.1899143593496236e-17,0.9940604659429203,1.0027398669166283e-16
False,20,3,2,0.05,0.98,0.5014528209849066,7.983176948113156e-18,0.5014528209849066,4.570963761630718e-17
False,20,3,2,0.05,1.0,9.801244262782267e-16,9.817920724780974e-33,9.801244262782269e-16,6.934506398828301e-32
False,20,3,4,0.05,0.0,0.0,0.0,0.0,0.0
False,20,3,4,0.05,0.02,0.08924209755317566,-1.508944202579891e-18,0.08924209755317566,5.072089461132145e-18
False,20,3,4,0.05,0.04,0.17846119411923655,-1.071138711018291e-18,0.17846119411923658,1.0413934151080363e-17
False,20,3,4,0.05,0.06,0.2676341706746161,-5.804995662810371e-19,0.26763417067461615,1.9839789047768205e-17
False,20,3,4,0.05,0.08,0.356737670505485,-5.670607955995475e-18,0.35673767050548505,2.1676007844217705e-17
False,20,3,4,0.05,0.1,0.4457479809206583,-1.02604141391007e-17,0.4457479809206583,3.1757401810708394e-17
False,20,3,4,0.05,0.12,0.5346409103825681,-5.339985999087289e-18,0.5346409103825681,3.411487030000544e-17
False,20,3,4,0.05,0.14,0.6233916419024658,-1.1872386764154984e-17,0.6233916419024658,3.155434038096404e-17
False,20,3,4,0.05,0.16,0.7119745579681639,-8.025210295068598e-18,0.7119745579681639,4.9119848048437006e-17
False,20,3,4,0.05,0.18,0.8003630617708013,2.1532699987237763e-18,0.8003630617708013,5.74175252024338e-17
False,20,3,4,0.05,0.2,0.8885294030896995,-1.4224758857693423e-17,0.8885294030896995,4.5307587261498e-17
False,20,3,4,0.05,0.22,0.9764444539876637,-1.8101264958946918e-17,0.9764444539876634,6.358184120070146e-17
False,20,3,4,0.05,0.24,1.0640773720971035,-1.7585119540561964e-17,1.0640773720971035,8.103928568890372e-17
False,20,3,4,0.05,0.26,1.151395181109061,-9.84657177553961e-18,1.151395181109061,7.867214182273715e-17
False,20,3,4,0.05,0.28,1.2383623367876495,-1.8729950062948744e-17,1.2383623367876495,7.821526018007356e-17
False,20,3,4,0.05,0.3,1.3249401939873813,-1.6785187962742034e-17,1.3249401939873813,9.933446157443129e-17
False,20,3,4,0.05,0.32,1.4110861251957405,-2.6786033267069174e-17,1.4110861251957405,1.0240537695879151e-16
False,20,3,4,0.05,0.34,1.4967521435156703,-1.5615866017395444e-17,1.4967521435156703,7.426527938195977e-17
False,20,3,4,0.05,0.36,1.5818830626617184,-1.1496446733491918e-17,1.5818830626617184,1.201411428325651e-16
False,20,3,4,0.05,0.38,1.666413955857827,6.561269167553206e-18,1.6664139558578273,1.2401752327751757e-16
False,20,3,4,0.05,0.4,1.7502660224347024,-2.1514436537105837e-17,1.7502660224347024,1.2380280867583985e-16
False,20,3,4,0.05,0.42,1.833339682260015,-2.2114191795723704e-17,1.833339682260015,1.0517001786521398e-16
False,20,3,4,0.05,0.44,1.9155037718747734,-4.2552101863975675e-18,1.9155037718747734,1.5343229141624198e-16
False,20,3,4,0.05,0.46,1.996578784075835,-1.2014134954689661e-17,1.9965787840758344,1.5812003628459243e-16
False,20,3,4,0.05,0.48,2.0763096971560415,-6.907601972123617e-18,2.0763096971560415,1.4136106333537616e-16
False,20,3,4,0.05,0.5,2.1543218713969745,-3.3772673080717864e-17,2.1543218713969754,1.333239063842857e-16
False,20,3,4,0.05,0.52,2.2300528843188356,-1.4650929927188305e-17,2.2300528843188356,1.801316957918124e-16
False,20,3,4,0.05,0.54,2.302652435053915,-6.396746052690138e-18,2.302652435053915,1.3306377419541515e-16
False,20,3,4,0.05,0.56,2.370843601319606,8.613897754630493e-18,2.3708436013196064,1.4997040436315207e-16
False,20,3,4,0.05,0.58,2.4327543707798025,-4.01589785842845e-17,2.432754370779803,1.7689806428732674e-16
False,20,3,4,0.05,0.6,2.4857703282691426,-1.5965611417987392e-17,2.4857703282691426,1.506882486624864e-16
False,20,3,4,0.05,0.62,2.526512655362296,-1.6663186830119233e-17,2.5265126553622967,2.056990831775566e-16
False,20,3,4,0.05,0.64,2.551063106048888,-5.580092553608386e-17,2.5510631060488875,1.2839480874390422e-16
False,20,3,4,0.05,0.66,2.5554968911232736,-1.005458762140684e-17,2.555496891123274,2.0884054589077597e-16
False,20,3,4,0.05,0.68,2.536651529466507,-3.0705416923596e-17,2.536651529466507,1.23252693800233e-16
False,20,3,4,0.05,0.7000000000000001,2.492910219440968,-4.022371446445697e-18,2.4929102194409674,2.146187878995082e-16
False,20,3,4,0.05,0.72,2.4246821278116575,3.430883237238215e-18,2.424682127811658,1.9143793236278698e-16
False,20,3,4,0.05,0.74,2.334284207765985,2.371458736939701e-17,2.334284207765985,2.224273096994594e-16
False,20,3,4,0.05,0.76,2.2251261145275274,-7.286131728189874e-17,2.2251261145275274,1.963031206361288e-16
False,20,3,4,0.05,0.78,2.100463655576757,-1.9092550563505435e-17,2.1004636555767564,1.9051050056210385e-16
False,20,3,4,0.05,0.8,1.9623401528822253,1.2612486781251162e-17,1.9623401528822253,1.7606774770453773e-16
False,20,3,4,0.05,0.8200000000000001,1.811352140270731,-4.207827187507674e-17,1.811352140270731,1.8825716232438486e-16
False,20,3,4,0.05,0.84,1.6473709388350732,-1.532440883210403e-17,1.6473709388350732,2.1474807679189852e-16
False,20,3,4,0.05,0.86,1.470626029292348,-7.111614528953532e-18,1.4706260292923479,1.7303883568908751e-16
False,20,3,4,0.05,0.88,1.282278551021324,-3.58275632252228e-17,1.282278551021324,9.282870130106422e-17
False,20,3,4,0.05,0.9,1.0841308782473495,-2.5129407350372786e-17,1.0841308782473495,1.275006909035892e-16
False,20,3,4,0.05,0.92,0.8779421863201061,1.1447404192772649e-17,0.8779421863201062,8.562640353293989e-17
False,20,3,4,0.05,0.9400000000000001,0.6650854668485189,-1.1984490493327399e-17,0.6650854668485189,8.778217715659929e-17
False,20,3,4,0.05,0.96,0.4467711080781797,-9.340105349399635e-18,0.4467711080781797,6.307779330353763e-17
False,20,3,4,0.05,0.98,0.22445435034945102,-8.352527474336827e-18,0.22445435034945102,2.2798819254060017e-17
False,20,3,4,0.05,1.0,4.381943364867217e-16,-1.8105722273020967e-33,4.381943364867218e-16,3.128073926531341e-32
False,20,3,6,0.05,0.0,0.0,0.0,0.0,0.0
False,20,3,6,0.05,0.02,0.08135621587743881,-9.900571828916102e-19,0.0813562158774388,3.9581751893008045e-18
False,20,3,6,0.05,0.04,0.16269148009463624,1.372149412106611e-18,0.16269148009463624,1.1170887647685418e-17
False,20,3,6,0.05,0.06,0.2439844770031392,-5.185245800421413e-18,0.2439844770031392,1.3442979093413033e-17
False,20,3,6,0.05,0.08,0.32521312782348094,1.3931744486821978e-18,0.325213127823481,2.6680250868377414e-17
False,20,3,6,0.05,0.1,0.406354100872501,-2.9846338980438347e-18,0.406354100872501,2.838952480816701e-17
False,20,3,6,0.05,0.12,0.4873821498958551,-7.168828240038003e-18,0.48738214989585515,3.3018008250883095e-17
False,20,3,6,0.05,0.14,0.5682691777657748,-7.231243865495187e-18,0.5682691777657748,3.6114763299523416e-17
False,20,3,6,0.05,0.16,0.6489828949675822,-5.380304084589882e-18,0.6489828949675822,4.812017911875308e-17
False,20,3,6,0.05,0.18,0.7294848868407581,-2.284121885641412e-19,0.7294848868407582,5.138168185540856e-17
False,20,3,6,0.05,0.2,0.809727811648457,-1.3884972477965382e-17,0.8097278116484569,5.0186272145315325e-17
False,20,3,6,0.05,0.22,0.8896513261771943,-1.5519516276197246e-17,0.8896513261771943,4.4887146032760825e-17
False,20,3,6,0.05,0.24,0.9691761659248113,-6.424964631169313e-18,0.9691761659248113,7.204514423378126e-17
False,20,3,6,0.05,0.26,1.0481955901149678,-1.9966589264070095e-17,1.0481955901149678,7.673971797061311e-17
False,20,3,6,0.05,0.28,1.1265632429353034,-1.3255757116560988e-17,1.1265632429353036,8.974032550367854e-17
False,20,3,6,0.05,0.3,1.2040765921041916,-9.801438190679573e-18,1.2040765921041916,8.384416465581518e-17
False,20,3,6,0.05,0.32,1.2804554663570444,-1.2789058535142977e-17,1.2804554663570447,1.0529630325073869e-16
